date,price
2013-09-09 00:00:00 UTC,126.4
2013-09-10 00:00:00 UTC,127.78
2013-09-11 00:00:00 UTC,131.65
2013-09-12 00:00:00 UTC,134.22
2013-09-13 00:00:00 UTC,135.05
2013-09-14 00:00:00 UTC,131.39
2013-09-15 00:00:00 UTC,129.95
2013-09-16 00:00:00 UTC,131.48
2013-09-17 00:00:00 UTC,131.31
2013-09-18 00:00:00 UTC,132.06
2013-09-19 00:00:00 UTC,130.23
2013-09-20 00:00:00 UTC,128.57
2013-09-21 00:00:00 UTC,126.78
2013-09-22 00:00:00 UTC,128.37
2013-09-23 00:00:00 UTC,126.73
2013-09-24 00:00:00 UTC,126.09
2013-09-25 00:00:00 UTC,127.99
2013-09-26 00:00:00 UTC,128.02
2013-09-27 00:00:00 UTC,131.84
2013-09-28 00:00:00 UTC,133.93
2013-09-29 00:00:00 UTC,140.28
2013-09-30 00:00:00 UTC,131.65
2013-10-01 00:00:00 UTC,132.55
2013-10-02 00:00:00 UTC,132.04
2013-10-03 00:00:00 UTC,123.07
2013-10-04 00:00:00 UTC,128.26
2013-10-05 00:00:00 UTC,129.57
2013-10-06 00:00:00 UTC,127.56
2013-10-07 00:00:00 UTC,128.38
2013-10-08 00:00:00 UTC,125.72
2013-10-09 00:00:00 UTC,130.9
2013-10-10 00:00:00 UTC,129.68
2013-10-11 00:00:00 UTC,130.27
2013-10-12 00:00:00 UTC,135.35
2013-10-13 00:00:00 UTC,135.48
2013-10-14 00:00:00 UTC,140.48
2013-10-15 00:00:00 UTC,143.89
2013-10-16 00:00:00 UTC,143.61
2013-10-17 00:00:00 UTC,146.15
2013-10-18 00:00:00 UTC,151.34
2013-10-19 00:00:00 UTC,170.51
2013-10-20 00:00:00 UTC,172.01
2013-10-21 00:00:00 UTC,181.41
2013-10-22 00:00:00 UTC,193.45
2013-10-23 00:00:00 UTC,206.78
2013-10-24 00:00:00 UTC,198.8
2013-10-25 00:00:00 UTC,172.48
2013-10-26 00:00:00 UTC,178.96
2013-10-27 00:00:00 UTC,189.83
2013-10-28 00:00:00 UTC,198.55
2013-10-29 00:00:00 UTC,204.39
2013-10-30 00:00:00 UTC,204.2
2013-10-31 00:00:00 UTC,203.88
2013-11-01 00:00:00 UTC,205.26
2013-11-02 00:00:00 UTC,206.89
2013-11-03 00:00:00 UTC,212.45
2013-11-04 00:00:00 UTC,226.28
2013-11-05 00:00:00 UTC,230.63
